,SPS_0054,SPS_0055,SPS_0056,SPS_0057,SPS_0058,SPS_0059,SPS_0001,SPS_0003,SPS_0004,SPS_0006,SPS_0007,SPS_0008,SPS_0009,SPS_0010,SPS_0012,SPS_0014,SPS_0015,SPS_0016,SPS_0017,SPS_0019,SPS_0020,SPS_0021,SPS_0022,SPS_0023,SPS_0025,SPS_0026,SPS_0027,SPS_0028,SPS_0029,SPS_0030,SPS_0031,SPS_0032,SPS_0033,SPS_0034,SPS_0035,SPS_0040,SPS_0041,SPS_0042,SPS_0043,SPS_0044,SPS_0045,SPS_0046,SPS_0047,SPS_0048,SPS_0049,SPS_0050,SPS_0053
SPS_0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0055,10.2591188239671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0056,21.8973011779271,18.5897286640588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0057,20.3433421335927,16.4353847109002,14.1512728106643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0058,20.8550773795502,13.635632817566,13.5051149232757,11.3664351410592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0059,13.9707092132339,10.3546530008382,12.0770229771895,7.70018670513911,13.3653693229843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0001,25.0945820671166,16.9660375188311,15.4123350333263,17.5339953520769,10.0579737050195,18.13650102494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0003,13.5268238097983,10.0632230020321,17.1575276308736,10.1989624572869,17.3482054348281,11.1475996262118,20.6868494528512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0004,10.0829014893551,13.2605650277983,21.0000528532246,21.3940708027177,23.8208926736413,14.4352289292298,29.2219023454858,12.9152995813918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0006,24.6437044792766,19.3115726717451,15.2540086653395,15.9976332213471,14.3419090795271,17.4873516226154,10.9222193592374,18.3226009438582,29.0046506730396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0007,23.097119035532,13.1010155079381,18.8560563169792,16.8480918725184,9.60289371421932,19.0532373471338,5.14239389164927,17.1502021846677,28.0451150958267,13.1283862097448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0008,22.0621104572432,15.911421763059,15.7760518323737,18.4550714325328,13.6113819632867,18.2251654363668,7.95551090193701,18.6179094884523,25.692922915696,8.75940026927159,9.39156837206983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0009,34.003799207867,22.1015879687377,19.268847808232,21.7470738685524,10.3457776367842,23.9840849122736,3.41455011499971,22.9896425667101,37.756058819879,12.3198499195279,6.22859261643181,9.63854739333163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0010,26.0781085769035,20.1123596239953,19.8391182948074,20.6676466214055,13.0270651659216,21.5406346746432,5.67944340987253,22.583372134676,31.4221425463649,15.2874940998754,6.44281782893878,9.79010373493101,8.80973543802467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0012,19.4517255855962,15.7628476807836,16.4717629340315,15.5122461335722,11.0232282213569,16.5842478984132,9.41886297414761,15.6837434939538,22.9964838178827,11.7362934575516,6.69345265369568,9.37015949886947,12.1142080444257,7.66472275648204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPS_0014,25.8060346461772,26.4267787027562,25.1770497942186,32.9926767975125,23.1630017256859,31.1018383710834,13.6475140132892,28.6001315405523,33.3753436671693,17.4202971417013,15.6092970636942,14.4557172058903,13.450199669039,15.2856325982096,16.0792701135283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
