"COMID","CAT_BASIN_AREA","TOT_BASIN_AREA","Site_ID"
23099678,53.62,13461.46,"T02"
23099844,0.33,8977.07,"T03"
23099884,5.69,430.08,"S82"
23100020,4.54,1205.52,"S36"
23100328,1.38,704.6,"S32"
23100338,3.58,264.54,"S31"
23100398,3.51,256.12,"S30R"
23100404,2.59,183.58,"S63"
23100428,6.56,97.09,"S37"
23100434,5.58,48.07,"S39"
23105314,1.33,19.8,"S38"
24125037,0.73,5509.12,"S50"
24125115,4.94,4653.63,"S79"
24125193,22.33,4115.03,"S67"
24125421,6.2,3025.58,"S73"
24125567,0.23,1958.5,"S28RE"
24125633,1.57,245.93,"S19E"
24125699,8.11,77.73,"S25"
24125729,2.91,93.22,"S19"
24125789,14.76,1329.98,"S23"
24125811,5.81,571.72,"S20R"
24125859,1.63,429.57,"S24R"
24125873,0.43,293.92,"S18R"
24125883,5.08,135.11,"S13R"
24125945,8.88,137.3,"S14"
24125999,0.23,96.14,"S17R"
24126041,4.86,16.36,"S15"
24126061,1.51,643.34,"S21R"
24126203,4.08,76.32,"S83"
24126251,26.62,223.7,"S29R"
24126315,1.57,203.77,"S72"
24126327,5.29,199.24,"S71"
24126399,0,137.94,"S68"
24126427,4.45,68.36,"U20"
24126487,0.21,253.74,"W20"
24126509,4.05,161.54,"W10"
24126823,11.55,16.38,"S27R"
24131037,0.09,258.34,"S28R"
24131135,0.21,227.12,"S75"
24423233,7.52,767.52,"S51"
24423233,7.52,767.52,"S49R"
24423479,23.77,309.8,"S77"
24423479,23.77,309.8,"S56"
24423517,8.49,150.46,"S55"
24425579,10.44,2465.9,"T05"
947030105,8.65,14144.72,"T07"
947030170,2.37,534.59,"S26R"
