,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
C20H43O3P,20,43,3,0,0,0,1,0,CHOP,Lipid,362.295115540208,-0.369266937519215,1,C20H43O3P,0,0,0,-3,-4,120.15,360.884421844623,0.115578155376909,-2.1,0.15,2.15,0,0.05,0,Lipid,Lipid,Lipid
C15H9O10N,15,9,10,1,0,0,0,0,CHON,ConHC,363.022664417154,-0.0520685233538243,1,C15H9O10N,0.25,0.666666666666667,12,2,1,33.7,361.611158333993,0.388841666006556,0.933333333333333,0.666666666666667,0.6,0.0666666666666667,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C16H13O9N,16,13,9,1,0,0,0,0,CHON,Lignin,363.05890963895,0.334332657736975,3,C16H13O9N,0.166666666666667,0.523809523809524,11,2,1,46.05,361.647363084051,0.352636915948949,0.5,0.5625,0.8125,0.0625,0,NA,Lignin,Lignin,Other
C15H13O8N3,15,13,8,3,0,0,0,0,CHON,Lignin,363.070252922802,0.031638224546691,2,C15H13O8N3,0,0.5,11,3,0,37.5,361.658693701891,0.341306298109032,0.8,0.533333333333333,0.866666666666667,0.2,0,NA,Lignin,Lignin,Other
C13H18O9NP,13,18,9,1,0,0,1,0,CHONP,Tannin,363.071912547143,0.0141700756619145,4,C13H18O9NP,0,0,6,-3,-5,64.6846153846154,361.660351473081,0.339648526919405,-0.153846153846154,0.692307692307692,1.38461538461538,0.0769230769230769,0.0769230769230769,1,Amino Sugar,Tannin,Other
C17H17O8N,17,17,8,1,0,0,0,0,CHON,Lignin,363.095440074354,-0.0648497662191792,1,C17H17O8N,0.125,0.416666666666667,10,2,1,56.9470588235294,361.683852729245,0.316147270755494,0.117647058823529,0.470588235294118,1,0.0588235294117647,0,NA,Lignin,Lignin,Other
C14H22O8NP,14,22,8,1,0,0,1,0,CHONP,AminoSugar,363.10840382225,-0.27711848335981,1,C14H22O8NP,0,0,5,-3,-5,76.5857142857143,361.696802001704,0.303197998296184,-0.571428571428571,0.571428571428571,1.57142857142857,0.0714285714285714,0.0714285714285714,1,Amino Sugar,Amino Sugar,Lipid
C18H22O5NP,18,22,5,1,0,0,1,0,CHONP,Lignin,363.123595802044,-0.100434518730896,1,C18H22O5NP,0.181818181818182,0.333333333333333,9,4,2,82.4666666666667,361.711977017997,0.288022982002531,-0.777777777777778,0.277777777777778,1.22222222222222,0.0555555555555556,0.0555555555555556,1,Other,Lignin,Phytochemical
C17H34O5NP,17,34,5,1,0,0,1,0,CHONP,Lipid,363.217640429584,-0.497532234574658,2,C17H34O5NP,0,0,2,-3,-5,103.888235294118,361.805916634466,0.194083365533857,-1.52941176470588,0.294117647058824,2,0.0588235294117647,0.0588235294117647,1,Lipid,Lipid,Lipid
C15H8O11,15,8,11,0,0,0,0,0,CHO,ConHC,364.006649260067,0.0325264209953346,3,C15H8O11,0.25,0.684210526315789,12,1,1,33.7,362.59404445064,0.405955549359646,0.933333333333333,0.733333333333333,0.533333333333333,0,0,NA,Other,Cond Hydrocarbon,Other
C16H12O10,16,12,10,0,0,0,0,0,CHO,ConHC,364.042975206008,0.196131218377189,2,C16H12O10,0.166666666666667,0.545454545454545,11,1,1,46.05,362.630329834706,0.369670165294394,0.5,0.625,0.75,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C13H17O10P,13,17,10,0,0,0,1,0,CHOP,Tannin,364.055984402384,-0.140433577835369,3,C13H17O10P,0,0,6,-4,-5,64.6846153846154,362.643324504897,0.356675495103275,-0.153846153846154,0.769230769230769,1.30769230769231,0,0.0769230769230769,0,Other,Tannin,Phytochemical
C17H16O9,17,16,9,0,0,0,0,0,CHO,Lignin,364.079462551328,-0.0836049028743835,1,C17H16O9,0.125,0.44,10,1,1,56.9470588235294,362.66677643793,0.333223562070145,0.117647058823529,0.529411764705882,0.941176470588235,0,0,NA,Lignin,Lignin,Other
C14H20O9S,14,20,9,0,0,1,0,0,CHOS,Lignin,364.082804006626,-0.00295461909333727,3,C14H20O9S,0,0,5,-4,-5,60.3,362.670114162129,0.329885837870961,0,0.642857142857143,1.42857142857143,0,0,NA,Lignin;Amino Sugar,Lignin,Other
C14H20O11,14,20,11,0,0,0,0,0,CHO,Tannin,364.100489992331,0.196354499261866,4,C14H20O11,0,0,5,-6,-6,56.2285714285714,362.687780399504,0.312219600495609,0.142857142857143,0.785714285714286,1.42857142857143,0,0,NA,Other,Tannin,Other
C18H20O8,18,20,8,0,0,0,0,0,CHO,Lignin,364.115712531885,0.288608569622206,2,C18H20O8,0.1,0.357142857142857,9,1,1,66.6333333333333,362.702985941435,0.29701405856531,-0.222222222222222,0.444444444444444,1.11111111111111,0,0,NA,Lignin,Lignin,Other
C15H24O8S,15,24,8,0,0,1,0,0,CHOS,Protein,364.118936886983,0.690846292166672,2,C15H24O8S,0,0,4,-4,-5,71.7,362.706206696189,0.293793303810958,-0.4,0.533333333333333,1.6,0,0,NA,Protein,Protein,Other
C15H25O8P,15,25,8,0,0,0,1,0,CHOP,Protein,364.12883013173,-0.34559864482816,2,C15H25O8P,0,0,4,-4,-5,86.9,362.716088894051,0.283911105949414,-0.933333333333334,0.533333333333333,1.66666666666667,0,0.0666666666666667,0,Protein,Protein,Lipid
C15H24O10,15,24,10,0,0,0,0,0,CHO,AminoSugar,364.13691634176,0.0841706466333367,2,C15H24O10,0,0,4,-6,-6,67.9,362.724166074946,0.275833925053803,-0.266666666666667,0.666666666666667,1.6,0,0,NA,Amino Sugar,Amino Sugar,Other
C19H24O7,19,24,7,0,0,0,0,0,CHO,Lignin,364.1522300363,-0.0739009627670268,1,C19H24O7,0.0833333333333333,0.290322580645161,8,1,1,75.3,362.739462670078,0.260537329921931,-0.526315789473684,0.368421052631579,1.26315789473684,0,0,NA,Lignin,Lignin,Other
C16H29O7P,16,29,7,0,0,0,1,0,CHOP,Protein,364.165215352925,-0.344781213461854,2,C16H29O7P,0,0,3,-4,-5,95.925,362.752433487182,0.247566512817514,-1.25,0.4375,1.8125,0,0.0625,0,Protein,Protein,Lipid
C23H24O4,23,24,4,0,0,0,0,0,CHO,Lignin,364.167573783123,-0.314482482709547,2,C23H24O4,0.421052631578947,0.476190476190476,12,8,8,80.1260869565217,362.754789283936,0.245210716063752,-0.695652173913044,0.173913043478261,1.04347826086957,0,0,NA,Other,Lignin,Other
C16H28O9,16,28,9,0,0,0,0,0,CHO,AminoSugar,364.173197932727,0.369508172454537,1,C16H28O9,0,0,3,-6,-6,78.1125,362.760407153565,0.239592846435357,-0.625,0.5625,1.75,0,0,NA,Amino Sugar,Amino Sugar,Other
C20H28O6,20,28,6,0,0,0,0,0,CHO,Lignin,364.188503484836,0.233798054711026,1,C20H28O6,0.0714285714285714,0.235294117647059,7,1,1,83.1,362.775695615357,0.224304384642608,-0.8,0.3,1.4,0,0,NA,Lignin,Lignin,Other
C17H33O6P,17,33,6,0,0,0,1,0,CHOP,Protein,364.201624623667,-0.40999753030278,2,C17H33O6P,0,0,2,-4,-5,103.888235294118,362.788802103008,0.211197896992473,-1.52941176470588,0.352941176470588,1.94117647058824,0,0.0588235294117647,0,Protein,Protein,Lipid
C18H37O5P,18,37,5,0,0,0,1,0,CHOP,Lipid,364.237943398266,-0.226747562562439,1,C18H37O5P,0,0,1,-4,-5,110.966666666667,362.825080323738,0.174919676261652,-1.77777777777778,0.277777777777778,2.05555555555556,0,0.0555555555555556,0,Lipid,Lipid,Lipid
C19H41O4P,19,41,4,0,0,0,1,0,CHOP,Lipid,364.274371023291,-0.342348518812482,1,C19H41O4P,0,0,0,-4,-5,117.3,362.861467273352,0.13853272664818,-2,0.210526315789474,2.15789473684211,0,0.0526315789473684,0,Lipid,Lipid,Lipid
C15H11O10N,15,11,10,1,0,0,0,0,CHON,ConHC,365.038214633948,0.221744871382459,2,C15H11O10N,0,0.555555555555556,11,1,0,37.5,363.624457969409,0.37554203059068,0.8,0.666666666666667,0.733333333333333,0.0666666666666667,0,NA,Tannin;Cond Hydrocarbon,Cond Hydrocarbon,Other
C16H15O9N,16,15,9,1,0,0,0,0,CHON,Lignin,365.07470621518,-0.0688340750864211,1,C16H15O9N,0,0.428571428571429,10,1,0,49.6125,363.660908803816,0.339091196184256,0.375,0.5625,0.9375,0.0625,0,NA,Lignin,Lignin,Other
C15H15O8N3,15,15,8,3,0,0,0,0,CHON,Lignin,365.085922093951,-0.0208719400052572,2,C15H15O8N3,0,0.375,10,2,-1,41.3,363.672112158836,0.327887841163715,0.666666666666667,0.533333333333333,1,0.2,0,NA,Lignin,Lignin,Protein
C13H19O11N,13,19,11,1,0,0,0,0,CHON,Tannin,365.095768789222,0.114131637790383,3,C13H19O11N,0,0,5,-6,-7,47.1461538461538,363.681947859199,0.318052140800603,0.461538461538462,0.846153846153846,1.46153846153846,0.0769230769230769,0,NA,Other,Tannin,Other
C14H24O8NP,14,24,8,1,0,0,1,0,CHONP,AminoSugar,365.124022937766,-0.190826573827119,2,C14H24O8NP,0,0,4,-4,-6,80.6571428571429,363.710170458909,0.289829541091251,-0.714285714285714,0.571428571428571,1.71428571428571,0.0714285714285714,0.0714285714285714,1,Amino Sugar,Amino Sugar,Lipid
C18H23O7N,18,23,7,1,0,0,0,0,CHON,Lignin,365.147448866454,0.00885052408569165,2,C18H23O7N,0,0.259259259259259,8,1,0,69.8,363.733570229995,0.266429770004549,-0.333333333333333,0.388888888888889,1.27777777777778,0.0555555555555556,0,NA,Lignin,Lignin,Other
C17H36O5NP,17,36,5,1,0,0,1,0,CHONP,Lipid,365.233205547751,-0.262206309867906,1,C17H36O5NP,0,0,1,-4,-6,107.241176470588,363.819231154616,0.180768845383966,-1.64705882352941,0.294117647058824,2.11764705882353,0.0588235294117647,0.0588235294117647,1,Lipid,Lipid,Lipid
C15H10O11,15,10,11,0,0,0,0,0,CHO,ConHC,366.022310432868,0.00199777886805359,3,C15H10O11,0,0.578947368421053,11,0,0,37.5,364.607454918169,0.392545081831258,0.8,0.733333333333333,0.666666666666667,0,0,NA,Other,Cond Hydrocarbon,Other
C16H14O10,16,14,10,0,0,0,0,0,CHO,Lignin,366.058573785052,0.335698592498203,2,C16H14O10,0,0.454545454545455,10,0,0,49.6125,364.64367777837,0.356322221630307,0.375,0.625,0.875,0,0,NA,Lignin,Lignin,Other
C15H14O9N2,15,14,9,2,0,0,0,0,CHON,Lignin,366.069960419673,-0.0829376238690616,2,C15H14O9N2,0,0.411764705882353,10,1,-1,41.3,364.655051698573,0.344948301427223,0.666666666666667,0.6,0.933333333333333,0.133333333333333,0,NA,Lignin,Lignin,Protein
C13H19O10P,13,19,10,0,0,0,1,0,CHOP,Tannin,366.071698415198,-0.31434907101407,2,C13H19O10P,0,0,5,-5,-6,69.0692307692308,364.656787753436,0.343212246563553,-0.307692307692307,0.769230769230769,1.46153846153846,0,0.0769230769230769,0,Other,Tannin,Other
C17H18O9,17,18,9,0,0,0,0,0,CHO,Lignin,366.095038133021,0.12030668123418,2,C17H18O9,0,0.36,9,0,0,60.3,364.680101409922,0.319898590077969,0,0.529411764705882,1.05882352941176,0,0,NA,Lignin,Lignin,Other
C14H23O9P,14,23,9,0,0,0,1,0,CHOP,AminoSugar,366.108004321835,-0.0968966391458049,3,C14H23O9P,0,0,4,-5,-6,80.6571428571429,364.693053120574,0.306946879426221,-0.714285714285714,0.642857142857143,1.64285714285714,0,0.0714285714285714,0,Amino Sugar,Amino Sugar,Other
C18H23O6P,18,23,6,0,0,0,1,0,CHOP,Lignin,366.123340946106,-0.316738086613252,1,C18H23O6P,0.0909090909090909,0.285714285714286,8,2,1,85.6333333333333,364.708372619833,0.291627380166915,-0.888888888888889,0.333333333333333,1.27777777777778,0,0.0555555555555556,0,Lignin,Lignin,Phytochemical
C18H22O8,18,22,8,0,0,0,0,0,CHO,Lignin,366.13139092109,0.209656728781154,2,C18H22O8,0,0.285714285714286,8,0,0,69.8,364.716413606143,0.283586393856922,-0.333333333333333,0.444444444444444,1.22222222222222,0,0,NA,Lignin,Lignin,Other
C15H27O8P,15,27,8,0,0,0,1,0,CHOP,Protein,366.14452308094,-0.460821970177298,2,C15H27O8P,0,0,3,-5,-6,90.7,364.729531102506,0.270468897493856,-1.06666666666667,0.533333333333333,1.8,0,0.0666666666666667,0,Protein,Protein,Lipid
C19H26O7,19,26,7,0,0,0,0,0,CHO,Lignin,366.16776926225,0.229203816472773,2,C19H26O7,0,0.225806451612903,7,0,0,78.3,364.752751326922,0.24724867307765,-0.631578947368421,0.368421052631579,1.36842105263158,0,0,NA,Lignin,Lignin,Other
C16H31O7P,16,31,7,0,0,0,1,0,CHOP,Protein,366.180784890595,-0.12297421751425,1,C16H31O7P,0,0,2,-5,-6,99.4875,364.765752421901,0.234247578099485,-1.375,0.4375,1.9375,0,0.0625,0,Protein,Protein,Lipid
C20H30O6,20,30,6,0,0,0,0,0,CHO,Protein,366.204219698729,0.0518750732513398,1,C20H30O6,0,0.176470588235294,6,0,0,85.95,364.789161062518,0.21083893748164,-0.9,0.3,1.5,0,0,NA,Protein,Lipid,Other
C17H35O6P,17,35,6,0,0,0,1,0,CHOP,Protein,366.217300798624,-0.479039422275385,2,C17H35O6P,0,0,1,-5,-6,107.241176470588,364.80222755594,0.197772444059581,-1.64705882352941,0.352941176470588,2.05882352941176,0,0.0588235294117647,0,Other,Protein,Lipid
C18H38O5S,18,38,5,0,0,1,0,0,CHOS,Lipid,366.243920278977,0.204075259395256,1,C18H38O5S,0,0,0,-5,-6,101.466666666667,364.828817312744,0.171182687256191,-1.44444444444444,0.277777777777778,2.11111111111111,0,0,NA,Lipid,Lipid,Other
C18H39O5P,18,39,5,0,0,0,1,0,CHOP,Lipid,366.253597324448,-0.236044228640259,1,C18H39O5P,0,0,0,-5,-6,114.133333333333,364.838483552739,0.161516447260624,-1.88888888888889,0.277777777777778,2.16666666666667,0,0.0555555555555556,0,Lipid,Lipid,Lipid
C17H9O3N3S2,17,9,3,3,0,2,0,0,CHONS,ConHC,367.008472214735,0.164399651433344,2,C17H9O3N3S2,0.777777777777778,0.80952380952381,15,12,7,43.5352941176471,365.59251554298,0.407484457019848,0.588235294117647,0.176470588235294,0.529411764705882,0.176470588235294,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C15H13O10N,15,13,10,1,0,0,0,0,CHON,Tannin,367.053815842348,0.353629758312397,2,C15H13O10N,0,0.444444444444444,10,0,-1,41.3,365.637808539494,0.362191460506494,0.666666666666667,0.666666666666667,0.866666666666667,0.0666666666666667,0,NA,Tannin,Tannin,Other
C19H13O7N,19,13,7,1,0,0,0,0,CHON,ConHC,367.069145166649,0.154223126197928,3,C19H13O7N,0.545454545454545,0.655172413793103,14,7,6,54.3,365.653120746934,0.346879253065993,0.210526315789474,0.368421052631579,0.684210526315789,0.0526315789473684,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C16H17O9N,16,17,9,1,0,0,0,0,CHON,Lignin,367.090357663061,-0.0722254366957872,1,C16H17O9N,0,0.333333333333333,9,0,-1,53.175,365.674309557283,0.325690442716962,0.25,0.5625,1.0625,0.0625,0,NA,Lignin,Lignin,Other
C13H22O9NP,13,22,9,1,0,0,1,0,CHONP,AminoSugar,367.1033644485,-0.399419384720709,2,C13H22O9NP,0,0,4,-5,-7,73.4538461538462,365.687301819229,0.312698180770838,-0.461538461538462,0.692307692307692,1.69230769230769,0.0769230769230769,0.0769230769230769,1,Carbohydrate;Amino Sugar,Amino Sugar,Amino Sugar
C14H26O8NP,14,26,8,1,0,0,1,0,CHONP,AminoSugar,367.13971303547,-0.298820492593254,1,C14H26O8NP,0,0,3,-5,-7,84.7285714285714,365.723609819042,0.276390180957776,-0.857142857142857,0.571428571428571,1.85714285714286,0.0714285714285714,0.0714285714285714,1,Other,Amino Sugar,Lipid
C18H25O7N,18,25,7,1,0,0,0,0,CHON,Lignin,367.16314199264,-0.108481041648034,1,C18H25O7N,0,0.185185185185185,7,0,-1,72.9666666666667,365.747012615229,0.25298738477062,-0.444444444444445,0.388888888888889,1.38888888888889,0.0555555555555556,0,NA,Lignin,Lignin,Other
C15H12O11,15,12,11,0,0,0,0,0,CHO,Tannin,368.037962355884,-0.00306377005145988,3,C15H12O11,0,0.473684210526316,10,-1,-1,41.3,366.62085614624,0.379143853759501,0.666666666666667,0.733333333333333,0.8,0,0,NA,Tannin,Tannin,Other
C12H16O11S,12,16,11,0,0,1,0,0,CHOS,Tannin,368.041312725621,0.0524970396260688,3,C12H16O11S,0,0,5,-6,-7,41.3,366.624202774925,0.375797225075246,0.666666666666667,0.916666666666667,1.33333333333333,0,0,NA,Other,Tannin,Other
C19H12O8,19,12,8,0,0,0,0,0,CHO,ConHC,368.053245815044,-0.0773068695219782,1,C19H12O8,0.545454545454545,0.666666666666667,14,6,6,54.3,366.636122539754,0.363877460246499,0.210526315789474,0.421052631578947,0.631578947368421,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C19H16O2N2S2,19,16,2,2,0,2,0,0,CHONS,UnsatHC,368.065464775822,-0.395656849499952,1,C19H16O2N2S2,0.538461538461538,0.571428571428571,13,11,7,63.3,366.648327856731,0.351672143269298,-0.105263157894737,0.105263157894737,0.842105263157895,0.105263157894737,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
C16H16O10,16,16,10,0,0,0,0,0,CHO,Lignin,368.074239857007,0.290369663649605,3,C16H16O10,0,0.363636363636364,9,-1,-1,53.175,366.657093139582,0.342906860418339,0.25,0.625,1,0,0,NA,Lignin,Lignin,Other
C15H16O9N2,15,16,9,2,0,0,0,0,CHON,Lignin,368.085522663565,0.156103218456687,3,C15H16O9N2,0,0.294117647058824,9,0,-2,45.1,366.668363347657,0.331636652342979,0.533333333333333,0.6,1.06666666666667,0.133333333333333,0,NA,Lignin,Lignin,Protein
C13H21O10P,13,21,10,0,0,0,1,0,CHOP,Carb,368.087256924119,-0.0638952266969838,4,C13H21O10P,0,0,4,-6,-7,73.4538461538462,366.67009567172,0.329904328279781,-0.461538461538462,0.769230769230769,1.61538461538462,0,0.0769230769230769,0,Carbohydrate,Carbohydrate,Other
C17H20O9,17,20,9,0,0,0,0,0,CHO,Lignin,368.110754211258,-0.059684098279538,1,C17H20O9,0,0.28,8,-1,-1,63.6529411764706,366.693566721578,0.306433278421537,-0.117647058823529,0.529411764705882,1.17647058823529,0,0,NA,Lignin,Lignin,Other
C16H20O8N2,16,20,8,2,0,0,0,0,CHON,Lignin,368.122082231695,-0.316749525955801,1,C16H20O8N2,0,0.2,8,0,-2,56.7375,366.704882093047,0.295117906953294,0.125,0.5,1.25,0.125,0,NA,Lignin,Lignin,Other
C14H25O9P,14,25,9,0,0,0,1,0,CHOP,AminoSugar,368.123781527289,-0.441742417588312,2,C14H25O9P,0,0,3,-6,-7,84.7285714285714,366.706579491192,0.293420508807969,-0.857142857142857,0.642857142857143,1.78571428571429,0,0.0714285714285714,0,Amino Sugar,Amino Sugar,Other
C18H25O6P,18,25,6,0,0,0,1,0,CHOP,Lignin,368.139037140475,-0.440310206020913,2,C18H25O6P,0,0.214285714285714,7,1,0,88.8,366.721818069824,0.27818193017589,-1,0.333333333333333,1.38888888888889,0,0.0555555555555556,0,Lignin,Lignin,Lipid
C18H24O8,18,24,8,0,0,0,0,0,CHO,Lignin,368.147020438728,0.264319598001518,2,C18H24O8,0,0.214285714285714,7,-1,-1,72.9666666666667,366.729792453855,0.270207546145059,-0.444444444444445,0.444444444444444,1.33333333333333,0,0,NA,Lignin,Lignin,Other
C15H29O8P,15,29,8,0,0,0,1,0,CHOP,Protein,368.160121484985,-0.317979265080125,1,C15H29O8P,0,0,2,-6,-7,94.5,366.742878871367,0.257121128633401,-1.2,0.533333333333333,1.93333333333333,0,0.0666666666666667,0,Protein,Protein,Lipid
C19H28O5S,19,28,5,0,0,1,0,0,CHOS,Lignin,368.165649869158,0.257574658727265,2,C19H28O5S,0,0.161290322580645,6,1,0,84.3,366.748401082497,0.251598917503486,-0.842105263157895,0.263157894736842,1.47368421052632,0,0,NA,Other,Lignin,Other
C19H28O7,19,28,7,0,0,0,0,0,CHO,Lignin,368.183532686579,-0.0799413246176289,1,C19H28O7,0,0.161290322580645,6,-1,-1,81.3,366.766263931804,0.233736068196208,-0.736842105263158,0.368421052631579,1.47368421052632,0,0,NA,Protein,Lignin,Other
C16H33O7P,16,33,7,0,0,0,1,0,CHOP,Protein,368.196535399852,-0.395103804916538,2,C16H33O7P,0,0,1,-6,-7,103.05,366.779252126131,0.220747873869016,-1.5,0.4375,2.0625,0,0.0625,0,Other,Protein,Lipid
C20H32O6,20,32,6,0,0,0,0,0,CHO,Protein,368.219798927549,0.243963663888301,1,C20H32O6,0,0.117647058823529,5,-1,-1,88.8,366.802489677565,0.19751032243488,-1,0.3,1.6,0,0,NA,Lipid;Protein,Lipid,Other
C17H36O6S,17,36,6,0,0,1,0,0,CHOS,Protein,368.223108626139,0.409947277803648,1,C17H36O6S,0,0,0,-6,-7,97.1823529411765,366.805795680516,0.194204319483902,-1.29411764705882,0.352941176470588,2.11764705882353,0,0,NA,Other,Protein,Other
C17H37O6P,17,37,6,0,0,0,1,0,CHOP,Protein,368.232779516495,-0.0110967704372836,1,C17H37O6P,0,0,0,-6,-7,110.594117647059,366.81545577227,0.184544227730441,-1.76470588235294,0.352941176470588,2.17647058823529,0,0.0588235294117647,0,Other,Protein,Lipid
C18H33O2N4P,18,33,2,4,0,0,1,0,CHONP,Lipid,368.234050632232,0.168919924785428,1,C18H33O2N4P,0,0,5,3,-2,95.1333333333333,366.816725468667,0.183274531332586,-1.22222222222222,0.111111111111111,1.83333333333333,0.222222222222222,0.0555555555555556,4,Lipid,Lipid;Unsat Hydrocarbon,Other
C25H36O2,25,36,2,0,0,0,0,0,CHO,UnsatHC,368.271449874065,0.218658642842961,1,C25H36O2,0.260869565217391,0.291666666666667,8,6,6,96.78,366.854082950173,0.145917049827176,-1.28,0.08,1.44,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
C16H7O6N3S,16,7,6,3,0,1,0,0,CHONS,ConHC,369.005563028136,-0.01995968717433,1,C16H7O6N3S,0.833333333333333,0.888888888888889,15,9,5,31.8,367.587376386938,0.412623613062237,1,0.375,0.4375,0.1875,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C15H15O10N,15,15,10,1,0,0,0,0,CHON,Tannin,369.069637083848,-0.112109323997661,2,C15H15O10N,0,0.333333333333333,9,-1,-2,45.1,367.651378896987,0.348621103013272,0.533333333333333,0.666666666666667,1,0.0666666666666667,0,NA,Tannin,Tannin,Other
C12H20O10NP,12,20,10,1,0,0,1,0,CHONP,Carb,369.082666368084,-0.498505893779741,2,C12H20O10NP,0,0,4,-6,-8,65.05,367.664393632608,0.335606367392472,-0.166666666666667,0.833333333333333,1.66666666666667,0.0833333333333333,0.0833333333333333,1,Carbohydrate,Carbohydrate,Amino Sugar
C16H19O9N,16,19,9,1,0,0,0,0,CHON,Lignin,369.105903590492,0.21030145434439,2,C16H19O9N,0,0.238095238095238,8,-1,-2,56.7375,367.687604908125,0.312395091874578,0.125,0.5625,1.1875,0.0625,0,NA,Lignin,Lignin,Other
C13H24O9NP,13,24,9,1,0,0,1,0,CHONP,AminoSugar,369.118973193161,-0.285297340024591,1,C13H24O9NP,0,0,3,-6,-8,77.8384615384615,367.700659917159,0.299340082840672,-0.615384615384615,0.692307692307692,1.84615384615385,0.0769230769230769,0.0769230769230769,1,Carbohydrate,Amino Sugar,Amino Sugar
C14H28O8NP,14,28,8,1,0,0,1,0,CHONP,AminoSugar,369.155420581109,-0.452899509010948,2,C14H28O8NP,0,0,2,-6,-8,88.8,367.737066607628,0.262933392371679,-1,0.571428571428571,2,0.0714285714285714,0.0714285714285714,1,Other,Amino Sugar,Lipid
C18H27O7N,18,27,7,1,0,0,0,0,CHON,Protein,369.178674483069,0.210585106959413,2,C18H27O7N,0,0.111111111111111,6,-1,-2,76.1333333333333,367.760294544074,0.239705455926355,-0.555555555555555,0.388888888888889,1.5,0.0555555555555556,0,NA,Protein,Protein,Other
C14H10O12,14,10,12,0,0,0,0,0,CHO,ConHC,370.017164187403,0.166475511474833,3,C14H10O12,0,0.5,10,-2,-2,31.8,368.597847983313,0.402152016686898,1,0.857142857142857,0.714285714285714,0,0,NA,Tannin,Cond Hydrocarbon,Other
C18H10O9,18,10,9,0,0,0,0,0,CHO,ConHC,370.032476036596,0.0158994270750016,2,C18H10O9,0.555555555555556,0.703703703703704,14,5,5,47.6333333333333,368.613142735158,0.386857264841524,0.444444444444445,0.5,0.555555555555556,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C15H14O9S,15,14,9,0,0,1,0,0,CHOS,Lignin,370.035827634201,0.0678423458553752,3,C15H14O9S,0,0.368421052631579,9,0,-1,48.9,368.61649059034,0.383509409660405,0.4,0.6,0.933333333333333,0,0,NA,Lignin,Lignin,Other
C19H15O4SP,19,15,4,0,0,1,1,0,CHOSP,ConHC,370.043103642808,-0.64174391068086,1,C19H15O4SP,0.538461538461538,0.6,13,9,7,75.3,368.62375847449,0.376241525509613,-0.526315789473684,0.210526315789474,0.789473684210526,0,0.0526315789473684,0,Cond Hydrocarbon,Cond Hydrocarbon,Phytochemical
C15H14O11,15,14,11,0,0,0,0,0,CHO,Tannin,370.053618773166,-0.0202150867334793,3,C15H14O11,0,0.368421052631579,9,-2,-2,45.1,368.63426186356,0.365738136440029,0.533333333333333,0.733333333333333,0.933333333333333,0,0,NA,Tannin,Tannin,Other
C19H14O8,19,14,8,0,0,0,0,0,CHO,ConHC,370.068800900207,0.179766552453847,2,C19H14O8,0.454545454545455,0.6,13,5,5,57.3,368.649427038102,0.35057296189774,0.105263157894737,0.421052631578947,0.736842105263158,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C16H18O8S,16,18,8,0,0,1,0,0,CHOS,Lignin,370.071914870737,0.873813575499643,1,C16H18O8S,0,0.272727272727273,8,0,-1,60.3,368.652537531545,0.347462468455092,0,0.5,1.125,0,0,NA,Lignin,Lignin,Other
C20H19O3SP,20,19,3,0,0,1,1,0,CHOSP,Lignin,370.079421369564,-0.458532287406389,3,C20H19O3SP,0.466666666666667,0.515151515151515,12,9,7,83.1,368.660035648548,0.339964351451727,-0.8,0.15,0.95,0,0.05,0,Unsat Hydrocarbon,Lignin,Phytochemical
C16H19O8P,16,19,8,0,0,0,1,0,CHOP,Lignin,370.081885901084,-0.356149245579338,2,C16H19O8P,0,0.272727272727273,8,0,-1,74.55,368.66249742815,0.337502571849654,-0.5,0.5,1.1875,0,0.0625,0,Lignin,Lignin,Phytochemical
C16H18O10,16,18,10,0,0,0,0,0,CHO,Lignin,370.089907681329,0.240799517625814,3,C16H18O10,0,0.272727272727273,8,-2,-2,56.7375,368.670510251204,0.329489748796107,0.125,0.625,1.125,0,0,NA,Lignin,Lignin,Other
C13H23O10P,13,23,10,0,0,0,1,0,CHOP,Carb,370.102953898586,-0.190296472093844,3,C13H23O10P,0,0,3,-7,-8,77.8384615384615,368.683541900938,0.316458099061833,-0.615384615384615,0.769230769230769,1.76923076923077,0,0.0769230769230769,0,Carbohydrate,Carbohydrate,Other
C20H18O7,20,18,7,0,0,0,0,0,CHO,Lignin,370.105246328872,0.0178425681873698,2,C20H18O7,0.384615384615385,0.515151515151515,12,5,5,66,368.685831771476,0.314168228524011,-0.2,0.35,0.9,0,0,NA,Lignin,Lignin,Other
