,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
C13H18O3,13,18,3,0,0,0,0,0,CHO,Lignin,222.125663411135,-0.310486569575337,1,C13H18O3,0.2,0.304347826086957,5,2,2,86.6076923076923,220.871484178013,0.128515821986866,-0.923076923076923,0.230769230769231,1.38461538461538,0,0,NA,Other,Lignin,Other
C11H13O4N,11,13,4,1,0,0,0,0,CHON,Lignin,223.084550561269,-0.415315038157538,1,C11H13O4N,0.166666666666667,0.375,6,2,1,65.4818181818182,221.829300626189,0.170699373811004,-0.181818181818182,0.363636363636364,1.18181818181818,0.0909090909090909,0,NA,Lignin,Lignin,Other
C10H8O6,10,8,6,0,0,0,0,0,CHO,Lignin,224.032150607546,-0.279505179513954,1,C10H8O6,0.25,0.571428571428571,7,1,1,48.9,222.775842573789,0.22415742621115,0.4,0.6,0.8,0,0,NA,Cond Hydrocarbon,Lignin,Other
C11H12O5,11,12,5,0,0,0,0,0,CHO,Lignin,224.068563385444,-0.401170707823542,1,C11H12O5,0.166666666666667,0.411764705882353,6,1,1,65.4818181818182,222.812214692854,0.187785307146243,-0.181818181818182,0.454545454545455,1.09090909090909,0,0,NA,Lignin,Lignin,Other
C12H16O4,12,16,4,0,0,0,0,0,CHO,Lignin,224.104927030607,-0.303556943771766,1,C12H16O4,0.125,0.3,5,1,1,79.3,222.848537734046,0.151462265954279,-0.666666666666667,0.333333333333333,1.33333333333333,0,0,NA,Lignin,Lignin,Other
C10H11O5N,10,11,5,1,0,0,0,0,CHON,Lignin,225.063768482451,-0.20444717307927,1,C10H11O5N,0,0.384615384615385,6,1,0,54.6,223.806308534959,0.193691465041297,0.2,0.5,1.1,0.1,0,NA,Lignin,Lignin,Other
C9H6O7,9,6,7,0,0,0,0,0,CHO,ConHC,226.011447254943,-0.419039143401733,1,C9H6O7,0,0.636363636363636,7,0,0,34.9666666666667,224.752929120867,0.247070879132849,0.888888888888889,0.777777777777778,0.666666666666667,0,0,NA,Other,Cond Hydrocarbon,Other
C10H10O6,10,10,6,0,0,0,0,0,CHO,Lignin,226.047799954206,-0.273838569840248,1,C10H10O6,0,0.428571428571429,6,0,0,54.6,224.789241228381,0.2107587716186,0.2,0.6,1,0,0,NA,Lignin,Lignin,Other
C11H14O3S,11,14,3,0,0,1,0,0,CHOS,Lignin,226.066426011252,-0.269856754509361,1,C11H14O3S,0.142857142857143,0.294117647058824,5,2,1,75.8454545454546,224.807846487406,0.192153512594302,-0.545454545454546,0.272727272727273,1.27272727272727,0,0,NA,Other,Lignin,Other
C11H14O5,11,14,5,0,0,0,0,0,CHO,Lignin,226.084190660558,-0.296795004499356,1,C11H14O5,0,0.294117647058824,5,0,0,70.6636363636364,224.825591300546,0.174408699454403,-0.363636363636363,0.454545454545455,1.27272727272727,0,0,NA,Lignin,Lignin,Other
